view_index,rotation_diff_deg,translation_diff_norm
0,3.47033601,1.20996153
1,4.16598267,1.50023941
2,7.90182860,1.31212926
3,4.07919865,1.54074694
4,2.84168477,0.68474653
5,5.63484690,1.16958273
6,9.38125358,1.34318990
7,3.16361214,0.81809161
